状況_年月日,全国地方公共団体コード,都道府県名,市区町村名,入院等,調整中,入院等・調整中内訳_無症状,入院等・調整中内訳_軽症・中等症,入院等・調整中内訳_重症,入院等・調整中内訳_確認中,退院,死亡,陽性者数_累計
2020/6/28,401005,福岡県,北九州市,9,0,0,6,2,1,229,6,244
2020/6/29,401005,福岡県,北九州市,10,0,1,6,2,1,229,6,245
2020/6/30,401005,福岡県,北九州市,10,0,1,6,2,1,229,6,245
2020/7/1,401005,福岡県,北九州市,11,0,1,7,2,1,231,6,248
2020/7/2,401005,福岡県,北九州市,10,0,1,6,2,1,232,6,248
2020/7/3,401005,福岡県,北九州市,10,0,1,6,2,1,233,6,249
2020/7/4,401005,福岡県,北九州市,10,1,1,7,2,1,234,6,251
2020/7/5,401005,福岡県,北九州市,11,0,1,7,2,1,234,6,251
2020/7/6,401005,福岡県,北九州市,11,0,1,7,2,1,235,6,252
2020/7/7,401005,福岡県,北九州市,11,0,1,7,2,1,235,6,252
2020/7/8,401005,福岡県,北九州市,15,0,2,11,2,0,236,6,257
2020/7/9,401005,福岡県,北九州市,16,0,2,12,2,0,236,6,258
2020/7/10,401005,福岡県,北九州市,16,0,2,12,2,0,236,6,258
2020/7/11,401005,福岡県,北九州市,17,0,3,12,2,0,236,6,259
2020/7/12,401005,福岡県,北九州市,17,2,3,14,2,0,236,6,261
2020/7/13,401005,福岡県,北九州市,19,1,4,13,3,0,236,6,262
2020/7/14,401005,福岡県,北九州市,20,0,4,13,3,0,237,6,263
2020/7/15,401005,福岡県,北九州市,19,0,4,12,3,0,238,6,263
2020/7/16,401005,福岡県,北九州市,14,0,3,9,2,0,245,6,265
2020/7/17,401005,福岡県,北九州市,13,0,2,9,2,0,246,6,265
2020/7/18,401005,福岡県,北九州市,17,0,5,10,2,0,247,6,270
2020/7/19,401005,福岡県,北九州市,17,0,4,11,2,0,248,6,271
2020/7/20,401005,福岡県,北九州市,18,1,4,13,2,0,248,6,273
2020/7/21,401005,福岡県,北九州市,18,0,4,12,2,0,250,6,274
2020/7/22,401005,福岡県,北九州市,17,0,2,10,2,3,254,6,277
2020/7/23,401005,福岡県,北九州市,17,4,2,15,2,2,254,6,281
2020/7/24,401005,福岡県,北九州市,19,6,2,21,2,0,254,6,285
2020/7/25,401005,福岡県,北九州市,22,8,6,22,2,0,255,6,291
2020/7/26,401005,福岡県,北九州市,24,15,6,23,2,0,255,6,300
2020/7/27,401005,福岡県,北九州市,34,7,5,25,2,9,255,6,302
2020/7/28,401005,福岡県,北九州市,32,20,5,21,2,24,260,6,318
2020/7/29,401005,福岡県,北九州市,37,22,7,43,2,7,261,6,326
2020/7/30,401005,福岡県,北九州市,47,24,7,50,3,11,262,6,339
2020/7/31,401005,福岡県,北九州市,47,35,16,62,3,1,265,6,353
2020/8/1,401005,福岡県,北九州市,52,34,16,65,2,3,268,7,361
2020/8/2,401005,福岡県,北九州市,76,30,18,81,2,5,266,7,379
2020/8/3,401005,福岡県,北九州市,65,36,16,75,2,8,273,8,382
2020/8/4,401005,福岡県,北九州市,88,34,16,79,2,25,276,8,406
2020/8/5,401005,福岡県,北九州市,69,66,27,101,3,4,284,8,427
2020/8/6,401005,福岡県,北九州市,89,53,24,104,2,12,296,8,446
2020/8/7,401005,福岡県,北九州市,102,37,22,101,2,14,313,8,460
2020/8/8,401005,福岡県,北九州市,116,49,25,104,2,34,320,8,493
2020/8/9,401005,福岡県,北九州市,115,60,32,122,2,19,324,8,507
2020/8/10,401005,福岡県,北九州市,117,58,34,133,2,6,335,8,518
2020/8/11,401005,福岡県,北九州市,108,58,31,119,8,8,349,8,523
2020/8/12,401005,福岡県,北九州市,112,62,39,126,8,1,352,8,534
2020/8/13,401005,福岡県,北九州市,93,64,31,109,9,8,383,8,548
2020/8/14,401005,福岡県,北九州市,86,72,31,109,9,9,398,8,564
2020/8/15,401005,福岡県,北九州市,86,69,36,106,9,4,413,8,576
2020/8/16,401005,福岡県,北九州市,86,73,36,114,9,0,415,8,582
2020/8/17,401005,福岡県,北九州市,93,61,34,109,11,0,420,8,582
2020/8/18,401005,福岡県,北九州市,92,30,23,87,10,2,458,9,589
2020/8/19,401005,福岡県,北九州市,93,31,27,88,9,0,465,9,598
2020/8/20,401005,福岡県,北九州市,85,33,24,87,7,0,476,9,603
2020/8/21,401005,福岡県,北九州市,85,26,23,81,7,0,487,9,607
2020/8/22,401005,福岡県,北九州市,84,26,23,81,6,0,489,10,609
2020/8/23,401005,福岡県,北九州市,80,20,20,74,6,0,501,11,612
2020/8/24,401005,福岡県,北九州市,78,19,19,74,4,0,506,12,615
2020/8/25,401005,福岡県,北九州市,77,11,15,68,5,0,519,12,619
2020/8/26,401005,福岡県,北九州市,72,14,14,67,4,1,527,12,625
2020/8/27,401005,福岡県,北九州市,71,14,15,66,4,0,532,12,629
2020/8/28,401005,福岡県,北九州市,66,15,15,63,3,0,537,14,632
2020/8/29,401005,福岡県,北九州市,66,15,15,63,3,0,540,15,636
2020/8/30,401005,福岡県,北九州市,66,12,14,61,3,0,545,15,638
2020/8/31,401005,福岡県,北九州市,65,8,11,60,2,0,549,16,638
2020/9/1,401005,福岡県,北九州市,57,6,12,49,2,0,562,16,641
2020/9/2,401005,福岡県,北九州市,41,3,7,35,2,0,581,16,641
2020/9/3,401005,福岡県,北九州市,38,0,6,30,2,0,587,16,641
2020/9/4,401005,福岡県,北九州市,33,1,7,25,2,0,593,16,643
2020/9/5,401005,福岡県,北九州市,36,1,7,28,2,0,593,16,646
2020/9/6,401005,福岡県,北九州市,33,2,7,25,3,0,596,16,647
2020/9/7,401005,福岡県,北九州市,33,2,7,25,3,0,596,16,647
2020/9/8,401005,福岡県,北九州市,25,2,6,18,3,0,603,17,647
2020/9/9,401005,福岡県,北九州市,22,2,6,15,3,0,606,17,647
2020/9/10,401005,福岡県,北九州市,23,0,6,15,2,0,608,18,649
2020/9/11,401005,福岡県,北九州市,20,0,6,12,2,0,612,18,650
2020/9/12,401005,福岡県,北九州市,21,2,7,14,2,0,612,18,653
2020/9/13,401005,福岡県,北九州市,22,2,7,15,2,0,612,18,654
2020/9/14,401005,福岡県,北九州市,16,0,4,10,2,0,620,18,654
2020/9/15,401005,福岡県,北九州市,13,0,2,11,0,0,622,19,654
2020/9/16,401005,福岡県,北九州市,13,0,2,11,0,0,623,19,655
2020/9/17,401005,福岡県,北九州市,13,0,2,11,0,0,623,19,655
2020/9/18,401005,福岡県,北九州市,12,0,2,10,0,0,624,20,656
2020/9/19,401005,福岡県,北九州市,10,0,1,9,0,0,626,20,656
2020/9/20,401005,福岡県,北九州市,10,0,1,9,0,0,626,20,656
2020/9/21,401005,福岡県,北九州市,9,0,0,9,0,0,627,20,656
2020/9/22,401005,福岡県,北九州市,9,0,0,9,0,0,627,20,656
2020/9/23,401005,福岡県,北九州市,9,0,0,9,0,0,628,20,657
2020/9/24,401005,福岡県,北九州市,11,0,0,11,0,0,628,20,659
2020/9/25,401005,福岡県,北九州市,10,0,0,10,0,0,629,20,659
2020/9/26,401005,福岡県,北九州市,7,0,0,7,0,0,633,20,660
2020/9/27,401005,福岡県,北九州市,7,0,0,7,0,0,633,20,660
2020/9/28,401005,福岡県,北九州市,6,0,0,6,0,0,634,20,660
2020/9/29,401005,福岡県,北九州市,8,0,1,7,0,0,634,20,662
2020/9/30,401005,福岡県,北九州市,8,0,1,7,0,0,634,20,662
2020/10/1,401005,福岡県,北九州市,6,0,1,5,0,0,636,20,662
2020/10/2,401005,福岡県,北九州市,6,0,1,5,0,0,637,20,663
2020/10/3,401005,福岡県,北九州市,7,0,2,5,0,0,637,20,664
2020/10/4,401005,福岡県,北九州市,7,0,2,5,0,0,637,20,664
